"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: septiembre 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/ene/2026 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","14/09/2025","22","1462.6893","13.9917","1.5581","824.5999","26871.6509","308.0105","300.1055","6383.3638","1398.4637","3975.8229","1902.3791"
"SEN","14/09/2025","23","1371.462","8.0395","1.5583","737.1976","25894.3291","371.4682","311.9615","6438.6618","1399.2611","3862.4439","1890.6896"
"SEN","14/09/2025","24","1409.8832","6.0348","1.7741","698.7448","24522.3507","359.0812","318.8094","6040.9244","1399.3355","3808.2962","1767.659"
"SEN","15/09/2025","1","1335.3407","0.4018","1.5678","648.4298","24144.3273","364.8117","319.5064","5646.5134","1399.786","3409.3848","1311.8821"
"SEN","15/09/2025","2","1133.4202","0.0024","1.5594","636.7173","23558.1638","296.1485","319.2558","5424.6804","1400.3862","3084.374","1238.062"
"SEN","15/09/2025","3","1093.756","0.0027","1.5595","641.8325","23206.8996","262.4612","319.0522","5164.6196","1400.3054","2590.3679","1222.3133"
"SEN","15/09/2025","4","1043.9736","0.0027","1.5596","646.1296","22350.9178","256.331","315.9756","5138.5675","1400.6143","2571.1766","1189.3024"
"SEN","15/09/2025","5","956.7584","0.0037","1.5596","635.9054","21849.7629","264.4169","315.6282","5146.9958","1400.5454","2575.7537","1173.0143"
"SEN","15/09/2025","6","1035.2966","0.1369","1.5594","636.3612","21823.5418","267.8629","315.152","5233.2845","1400.922","2581.1014","1166.673"
"SEN","15/09/2025","7","1131.6508","97.5331","1.559","631.2195","21749.9338","264.7202","317.2263","5445.7729","1400.2149","2584.7208","1174.3027"
"SEN","15/09/2025","8","1054.1086","1482.0551","1.7082","621.8442","21493.4607","255.8897","316.0592","5416.9866","1400.2526","2569.9716","1239.5755"
"SEN","15/09/2025","9","1082.0082","3748.5278","1.937","620.9103","20922.6555","251.967","313.3214","5193.934","1399.7068","2565.3395","1384.6135"
"SEN","15/09/2025","10","1313.9944","5143.1865","1.9357","614.7009","20878.1952","324.691","310.1745","4860.8347","1398.6283","2590.1642","1507.8806"
