"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/jul/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","12/05/2025","11","2225.0101","6917.9129","9.1501","1706.0111","26501.1788","151.4651","361.9371","750.872","762.8662","2065.2929","1468.7602"
"SEN","12/05/2025","12","2150.3607","6948.8593","6.7867","1778.0679","26777.3179","151.1299","361.525","1164.4403","762.1915","2306.0865","1496.8439"
"SEN","12/05/2025","13","2112.1821","6903.8307","9.2509","1833.4388","27027.5087","176.6366","361.1217","1622.3241","759.7281","2608.2372","1472.1152"
"SEN","12/05/2025","14","2099.7906","6843.2503","3.9311","1949.6574","27374.9047","213.1509","360.934","1998.9797","758.2988","2833.589","1459.9262"
"SEN","12/05/2025","15","2123.4291","6552.8167","6.0137","1984.649","27890.148","230.3813","340.5724","2681.1555","756.9211","2893.9447","1480.175"
"SEN","12/05/2025","16","2220.8228","5971.0908","5.2525","1988.1786","28690.7873","240.7991","334.7873","3165.4022","755.2498","3122.8125","1495.0363"
"SEN","12/05/2025","17","2494.07","5347.8915","5.2524","2023.985","29344.9015","240.9259","354.4385","3290.9931","754.0505","3221.353","1585.9895"
"SEN","12/05/2025","18","3148.2303","4041.4804","6.0063","2073.5662","29782.0928","296.2712","358.0815","3148.5377","753.467","3234.0947","1679.805"
"SEN","12/05/2025","19","3725.0511","1522.4372","8.8793","2076.2713","30478.9443","339.6772","361.4511","3485.6116","753.4851","3343.41","1831.9729"
"SEN","12/05/2025","20","3668.2305","154.3583","8.1449","2073.1684","31094.8046","351.6822","363.8158","4873.8991","754.3368","3580.7861","1855.9054"
"SEN","12/05/2025","21","3625.381","22.564","8.349","2070.2467","31019.2208","367.6864","363.5961","5172.1243","755.7134","3660.0023","1864.9964"
"SEN","12/05/2025","22","3786.5533","10.0235","8.5138","2059.0349","31006.8848","378.0082","362.8724","4466.3628","757.4662","3670.6491","1857.2604"
"SEN","12/05/2025","23","3805.1549","10.0064","11.2131","1759.8707","30548.9599","334.2901","364.4502","4102.5224","758.7433","3699.1285","1857.7022"
