"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/may/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","17/04/2025","14","3734.4821","6909.3764","24.2072","1228.3486","20654.3121","452.64","374.0446","2088.087","764.9965","1445.9867","1379.0688"
"SEN","17/04/2025","15","3796.3758","6845.2516","28.6317","1218.438","20890.9999","506.4882","372.5493","2275.2017","764.3083","1532.2341","1387.3199"
"SEN","17/04/2025","16","3844.6229","6500.7237","29.9093","1212.5599","21794.6357","479.611","371.7953","2304.3559","762.7596","1609.9665","1393.0286"
"SEN","17/04/2025","17","4043.929","5738.7426","29.2642","1208.7766","22903.0051","455.5057","371.1606","2296.6908","760.3623","1674.0622","1415.6569"
"SEN","17/04/2025","18","4348.8561","4062.8236","26.5374","1518.7107","23917.0505","483.8713","373.0074","2877.978","759.3493","1666.3183","1580.8185"
"SEN","17/04/2025","19","4548.1623","1439.126","24.7213","1653.8653","24705.2597","422.0106","374.409","3978.7511","759.5977","1671.1656","1835.4404"
"SEN","17/04/2025","20","4577.1984","138.0559","25.658","1652.1631","25392.568","422.5365","375.3615","5866.7304","760.2502","1769.3313","1912.7361"
"SEN","17/04/2025","21","4539.1949","19.8062","25.8228","1648.9781","25315.3833","424.2377","376.027","5633.2772","761.647","1919.2817","1952.8528"
"SEN","17/04/2025","22","4434.0723","10.439","27.4391","1648.0454","25090.4134","483.5512","377.7327","5105.5245","763.1254","1889.0697","1959.745"
"SEN","17/04/2025","23","4050.0663","10.0257","25.4046","1655.6607","25097.1803","495.2979","379.5009","4754.0411","764.5272","1885.4411","1803.6962"
"SEN","17/04/2025","24","3757.4754","10.0205","24.1426","1658.9523","24593.9445","691.8008","381.4974","3957.5202","765.5009","1818.6254","1796.9859"
"SEN","18/04/2025","1","3555.4667","1.1628","24.4623","1661.6669","23869.5908","688.5886","381.4797","3287.0218","766.338","1743.1003","1518.1554"
"SEN","18/04/2025","2","3400.5292","0.0143","23.3497","1658.3016","23128.521","662.1665","381.7377","2861.7885","767.2443","1680.3965","1440.2079"
