"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/jul/2025 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","16/03/2025","10","1292.7291","5421.2329","25.9995","1619.3911","16336.0918","154.3304","410.7423","1151.7394","1489.8906","1973.6753","1197.1933"
"SEN","16/03/2025","11","1155.4589","5431.4604","25.8127","1611.2675","16258.0516","128.7523","409.9127","1296.4798","1489.9057","1974.9649","1253.1359"
"SEN","16/03/2025","12","1080.57","5497.824","24.1121","1608.6274","16594.5389","126.7908","408.2759","1358.2347","1489.9276","1978.5565","1235.4286"
"SEN","16/03/2025","13","1036.8675","5437.1522","28.2956","1608.2986","16920.7723","128.4103","407.1345","1230.9923","1488.7496","2016.966","1239.7783"
"SEN","16/03/2025","14","2009.42","5416.4062","26.876","1605.4999","16361.4429","129.557","405.7213","1044.7305","1488.4163","2021.5349","1247.9557"
"SEN","16/03/2025","15","2259.8658","5493.9456","25.9578","1573.3657","15825.5893","131.9681","406.1962","1576.9839","1486.9476","2058.6553","1258.7233"
"SEN","16/03/2025","16","2408.0037","5251.8059","24.9212","1563.9105","16245.7713","140.569","405.3148","1686.5545","1486.5152","2047.2206","1258.5829"
"SEN","16/03/2025","17","2553.8799","4882.6368","26.6017","1588.9682","16949.7396","151.1386","403.7883","1789.2624","1486.1284","2222.0455","1268.8926"
"SEN","16/03/2025","18","2675.6412","3946.6048","27.7932","1597.9528","17762.0915","169.0592","404.5922","2093.2561","1486.6074","2397.0116","1444.7522"
"SEN","16/03/2025","19","2944.529","1132.3144","26.6233","1607.5863","20401.5849","199.5432","404.5189","2789.3756","1486.5082","2497.3583","1527.4385"
"SEN","16/03/2025","20","3510.5771","96.8391","27.3163","1606.2803","22146.8805","251.5264","406.0867","3368.8093","1486.7641","2507.5849","1577.4443"
"SEN","16/03/2025","21","3792.9339","63.8637","27.6635","1605.6064","22182.7941","247.093","407.1263","3216.2566","1486.5861","2607.1716","1573.4601"
