"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: octubre 2025"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/jun/2026 05:15:02 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","17/10/2025","8","1182.52","1126.0516","2.0788","1105.7324","24174.6464","231.2849","320.8304","4919.5487","755.0518","2783.0202","1303.3819"
"SEN","17/10/2025","9","699.4087","3904.0048","2.2554","1183.3332","22967.6289","228.9496","319.7675","5169.2665","755.1417","2780.1162","1238.0156"
"SEN","17/10/2025","10","719.0488","5969.1929","2.2633","1359.4639","21583.2192","225.5544","318.8674","5104.4477","754.8329","2667.4257","1203.4433"
"SEN","17/10/2025","11","625.7418","6400.9648","2.2575","1445.1284","21280.9559","243.0025","318.006","5780.6237","754.0827","2531.2277","1203.4984"
"SEN","17/10/2025","12","484.43","6523.1441","2.2468","1539.5883","21822.1137","243.9078","319.453","5741.578","753.9068","2530.7317","1197.095"
"SEN","17/10/2025","13","483.4128","6271.3507","1.8272","1524.0061","22463.57","258.3652","321.118","6217.2772","752.9916","2533.4919","1272.2774"
"SEN","17/10/2025","14","552.6249","5898.3538","1.7542","892.2128","23589.6039","263.1142","320.7655","6643.1589","752.565","2666.0392","1299.7952"
"SEN","17/10/2025","15","696.7883","5630.6366","1.7539","886.3588","24675.6449","264.8633","321.4113","6430.2828","751.7988","2899.4464","1325.1435"
"SEN","17/10/2025","16","803.8948","5185.9722","1.7535","877.6348","25330.5211","235.8215","320.7354","6860.0695","749.8406","3044.2299","1328.4404"
"SEN","17/10/2025","17","997.7877","4286.9151","1.7532","843.761","26341.1373","368.3719","321.5821","6806.7263","747.5319","3513.9928","1335.7655"
"SEN","17/10/2025","18","1407.1999","1967.0875","1.753","834.7406","27439.0196","414.4717","320.1238","7214.7828","745.6478","3756.353","1501.3294"
"SEN","17/10/2025","19","1635.1156","192.6835","1.0475","828.156","28571.2317","421.2255","323.4259","7572.1262","745.539","3966.3157","1993.7413"
"SEN","17/10/2025","20","1885.7178","16.1871","0.6227","881.4173","28290.8214","461.6026","322.9526","7419.7126","745.6131","4158.8073","1981.9546"
