"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: junio 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/jul/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","15/06/2025","2","2160.939","0.011","3.076","1717.4972","26847.6796","397.063","352.9647","4460.6374","761.2782","3711.2362","1779.8418"
"SEN","15/06/2025","3","2036.7405","0.012","3.0477","1723.6997","26697.6653","376.062","352.5345","3662.7798","761.7545","3678.6879","1736.1067"
"SEN","15/06/2025","4","2333.5074","0.0156","3.0109","1737.271","26143.4168","242.0339","352.7449","2874.3268","762.6442","3678.9459","1656.9976"
"SEN","15/06/2025","5","2658.4087","0.0224","2.979","1868.318","25281.9275","241.7818","353.0412","2559.3933","762.8627","3595.8644","1601.1978"
"SEN","15/06/2025","6","2847.5658","9.2445","3.0268","1808.7396","24884.6073","242.3499","352.8785","2161.3653","762.7666","3618.9076","1433.4811"
"SEN","15/06/2025","7","2709.971","507.9018","2.9989","1791.639","22942.1988","241.3583","354.7955","2382.4719","762.2387","3660.4513","1358.4312"
"SEN","15/06/2025","8","2526.1905","2646.07","3.1149","1794.3176","21017.8473","163.7083","354.4314","2207.9508","761.6818","3632.8935","1359.5751"
"SEN","15/06/2025","9","2862.3118","4044.8328","3.136","1668.6963","20290.166","162.5082","354.4764","2200.1427","761.1321","3630.459","1248.564"
"SEN","15/06/2025","10","3104.8704","5113.2858","3.0771","1566.5057","19801.6556","164.0877","353.9281","2013.9761","761.0549","3618.257","1240.8734"
"SEN","15/06/2025","11","3034.1997","5405.5588","3.0163","1489.9761","19918.0073","164.7458","353.1533","2423.679","761.182","3627.802","1266.0969"
"SEN","15/06/2025","12","3407.8475","5723.2511","3.05","1453.8892","19887.5444","163.9051","351.3986","2524.4728","761.7514","3637.2256","1289.4701"
"SEN","15/06/2025","13","3488.3706","5717.7809","3.1205","1449.2076","20863.3877","166.0289","351.8967","2380.1767","762.5461","3640.9434","1413.3567"
"SEN","15/06/2025","14","3669.7933","5638.5223","3.0377","1459.2068","21363.6251","278.2921","350.6772","2171.4522","761.3344","3651.6889","1518.4009"
