"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/sep/2025 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","09/05/2025","6","2229.4245","2.9839","1.6743","1560.1103","26864.147","240.3442","349.6556","2021.9582","756.9626","3708.4039","1661.6905"
"SEN","09/05/2025","7","2248.2232","389.8606","1.6571","1541.5391","26487.7571","216.5952","350.6946","1949.4413","756.564","3667.7523","1662.6361"
"SEN","09/05/2025","8","2126.0503","2927.9956","1.6501","1533.089","25722.3369","216.1834","347.7775","1747.5785","756.4476","3621.0759","1664.916"
"SEN","09/05/2025","9","2197.8725","5346.2897","1.6581","1509.1695","24647.0959","233.4161","345.7885","1801.2368","757.0476","3597.327","1741.9492"
"SEN","09/05/2025","10","2406.9617","6566.9656","1.6569","1517.8326","24447.9165","213.715","341.1689","1606.9112","757.2506","3588.8622","1761.3023"
"SEN","09/05/2025","11","2188.449","7002.4867","1.6534","1400.5564","24798.2731","219.6763","332.9226","1796.2267","757.3006","3587.5862","1822.9389"
"SEN","09/05/2025","12","1963.7741","6926.0804","1.3929","1248.1138","25154.9795","244.9214","326.0261","2457.1157","757.2407","3755.8193","1899.764"
"SEN","09/05/2025","13","2102.0287","6923.7475","1.4689","1301.6163","25481.9857","262.3976","326.3372","2464.1394","757.2616","3794.3152","2013.4704"
"SEN","09/05/2025","14","2282.6496","6898.639","1.4698","1410.2328","25224.1484","278.2024","326.2508","2612.6213","757.0688","3895.561","2340.099"
"SEN","09/05/2025","15","2338.1817","6408.7171","1.9275","1461.759","25529.8285","284.0467","329.7345","3068.0038","757.0299","3905.7622","2308.7615"
"SEN","09/05/2025","16","2215.1461","5713.2312","2.0284","1536.5865","26109.3735","330.8879","340.5244","3672.3182","756.747","3973.045","2339.5905"
"SEN","09/05/2025","17","1971.7939","5304.2446","2.718","1565.239","26861.5944","454.2019","343.9344","3512.5006","756.6092","3997.9405","2382.4726"
"SEN","09/05/2025","18","1926.7851","4395.3501","4.6884","1611.8698","27281.9341","448.4435","344.71","3811.8085","756.5551","4062.3226","2421.2287"
